doc_id,title,content,0 - relevant - maowenxin2014@163.com,0 - relevant - minj,1 - Biblio-/Scientometrics - maowenxin2014@163.com,1 - Biblio-/Scientometrics - minj,1 - Core - maowenxin2014@163.com,1 - Core - minj,2 - Crit Appraisal - maowenxin2014@163.com,2 - Extract - maowenxin2014@163.com,2 - Extract - minj,2 - Screening - maowenxin2014@163.com,2 - Screening - minj,2 - Synthesis - minj
3605659,Some reflections on combining meta-analysis and structural equation modeling,"Meta-analysis and structural equation modeling (SEM) are 2 of the most prominent statistical techniques employed in the behavioral, medical, and social sciences. They each have their own well-established research communities, terminologies, statistical models, software packages, and journals (Research Synthesis Methods and Structural Equation Modeling: A Multidisciplinary Journal). In this paper, I will provide some personal reflections on combining meta-analysis and SEM in the forms of meta-analytic SEM and SEM-based meta-analysis. The critical contributions of Becker (1992), Shadish (1992), and Viswesvaran and Ones (1995) in the early development of meta-analytic SEM are highlighted. Another goal of the paper is to illustrate how meta-analysis can be extended and integrated with other techniques to address new research questions such as the analysis of Big Data. I hope that this paper may stimulate more research development in the area of combining meta-analysis and SEM.",2,2,,,,,,,,,,
3606326,The Struggle for Evidence in Physical and Rehabilitation Medicine: Publication Rate of Randomized Controlled Trials and Systematic Reviews Is Growing More Than in Other Therapeutic Fields,"Objective The aim of the study was to evaluate the rate of publication of randomized controlled trials, systematic reviews, and meta-analysis in physical and rehabilitation medicine and its variation over time. Design We performed a bibliometric study and searched PubMed from inception to 2017, using National Library of Medicine 3rd level MeSH terms (""rehabilitation,"" ""physical therapy modalities,"" and ""drug therapy"") and filters (""randomized controlled trial,"" ""systematic reviews,"" and ""meta-analysis""). We used descriptive statistics, and we calculated the best-fitting regression model for all data considered. Results The absolute number of articles is growing in rehabilitation as much as in other treatment fields such as drug therapy. Whereas the rate of growth of publications for all studies relative to PubMed is bigger for drug therapies than for rehabilitation and physical therapy, the rate of growth of randomized controlled trials, systematic reviews, and meta-analysis is significantly greater for rehabilitation and physical therapy (P < 0.001). In 2017, 19.3% and 28.2% of the total production of scientific articles for rehabilitation and physical therapy (respectively) were for randomized controlled trials and systematic reviews versus 11.3% for drug therapy. Conclusions Production of the highest form of research evidence (randomized controlled trials, systematic reviews, and meta-analysis) is continuously increasing in physical and rehabilitation medicine at a higher rate than in other treatment fields such as drug therapy. The quality and results of this evidence should be evaluated in future studies. © 2019 Wolters Kluwer Health, Inc. All rights reserved.",1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3593774,Past and Current Use of Walking Measures for Children With Spina Bifida: A Systematic Review,"Objectives: To describe walking measurement in children with spina bifida and to identify patterns in the use of walking measures in this population. Data Sources: Seven medical databases Medline, PubMed, Embase, Scopus, Web of Science, CINAHL, and AMED-were searched from the earliest known record until March 11, 2014. Search terms encompassed 3 themes: (1) children; (2) spina bifida; and (3) walking. Study Selection: Articles were included if participants were children with spina bifida aged 1 to 17 years and if walking was measured. Articles were excluded if the assessment was restricted to kinematic, kinetic, or electromyographic analysis of walking. A total of 1751 abstracts were screened by 2 authors independently, and 109 articles were included in this review. Data Extraction: Data were extracted using standardized forms. Extracted data included study and participant characteristics and details about the walking measures used, including psychometric properties. Two authors evaluated the methodological quality of articles using a previously published framework that considers sampling method, study design, and psychometric properties of the measures used. Data Synthesis: Nineteen walking measures were identified. Ordinal-level rating scales (eg, Hoffer Functional Ambulation Scale) were most commonly used (57% of articles), followed by ratio-level, spatiotemporal measures, such as walking speed (18% of articles). Walking was measured for various reasons relevant to multiple health care disciplines. A machine learning analysis was used to identify patterns in the use of walking measures. The learned classifier predicted whether a spatiotemporal measure was used with 77.1% accuracy. A trend to use spatiotemporal measures in older children and those with lumbar and sacral spinal lesions was identified. Most articles were prospective studies that used samples of convenience and unblinded assessors. Few articles evaluated or considered the psychometric properties of the walking measures used. Conclusions: Despite a demonstrated need to Measure walking in children with spina bifida, few valid, reliable, and responsive measures have been established for this population. (C) 2015 by the American Congress of Rehabilitation Medicine",1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
3594279,Progress in Cardiovascular Imaging,,3,2,,,,,,,,,,
3606278,Accredited Endovascular Surgical Neuroradiology Programs: Current Specialty Composition and Academic Impact Using the h Index,"Background: Concerns exist that neurosurgery might fail to lead the field of endovascular surgical neuroradiology (ESN), as other specialties are allowed to train and practice ESN. This study aimed to assess the current breakdown of specialties and their relative academic productivity in accredited ESN fellowship programs. Methods: A list of fellowship programs was obtained from the Accreditation Council for Graduate Medical Education and Committee on Advanced Subspecialty Training directories. Primary specialty (i.e., residency) training for each faculty member in these programs was determined using information provided by the programs. A bibliometric search was performed for each member using Web of Science (Clarivate Analytics, Philadelphia, Pennsylvania, USA). Cumulative and ESN-specific h indices were calculated; h indices were compared between each specialty group and between international medical graduates and US medical graduates, regardless of specialty training. Results: Thirty-one ESN fellowship programs with 88 faculty members were included. Neurosurgeons constituted 61.4% (n = 54) of the total ESN faculty, followed by radiologists with 30.7% (n = 27), and neurologists with 7.9% (n = 7). The mean ESN-specific h index for neurosurgery-trained ESN faculty was 16.2 ± 14.6 compared with 14.4 ± 10.9 for radiologists and 13.0 ± 12.6 for neurologists (P = 0.76). There were 12 IMGs and 76 USMGs. The mean ESN-specific h index was greater for IMGs than USMGs, 24.7 ± 14.3 versus 14.0 ± 12.7 (P = 0.008), respectively. Conclusions: Neurosurgery is leading the ESN field in numbers; however, the h index is not significantly different among ESN faculty based on primary training. The number of IMGs is relatively small, yet IMGs have significantly higher mean h indices. © 2019 Elsevier Inc.",1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3594287,Internal to Common Carotid Artery Peak Systolic Velocity Ratios for Predicting North American Symptomatic Carotid Endarterectomy Trial Stenosis: Derivation/Validation Study Using a Machine Learning Technique,"The association between internal carotid artery/peak systolic velocity and stenosis severity as measured by the North American Symptomatic Carotid Endarterectomy Trial is known. The association of internal carotid artery peak systolic velocity to common carotid artery peak systolic velocity ratio is less well studied. We use a machine learning algorithm to study this association. We performed a meta-analysis of papers with point data showing graphs of internal carotid artery/peak systolic velocity ratio versus North American Symptomatic Carotid Endarterectomy Trial percent stenosis. We used a neural net algorithm to derive an equation relating internal carotid artery/common carotid artery peak systolic velocity to % stenosis in a derivation group (two thirds of the data points) and applied it to a validation subset (one third of the data points). Model performance was assessed by correlation coefficients and Bland-Altman analyses. We found 4 papers with appropriate data for a total of 775 data points. The mean % stenosis was 53% (26% SD) with a mean internal carotid artery/common carotid artery peak systolic velocity ratio of 3.9 (2.9 SD). The derivation data set (n = 516) showed an association with an r value of 0.76 (P <.0001) between predicted and measured stenosis. Applying the derived equation to the validation subset (n = 259) showed a similar association (r = 0.8; P <.0001). A machine learning algorithm gave a good approximation of the association between internal carotid artery/common carotid artery peak systolic velocity ratio and % stenosis on a continuous scale for the aggregate data of 4 published studies. These data could be used to study the accuracy of different cut-points for 50% and 70% stenosis in an unbiased fashion. © 2019, Society for Vascular Ultrasound.",1,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3594344,Measurement of physical activity in clinical practice using accelerometers,"Accelerometers are commonly used in clinical and epidemiological research for more detailed measures of physical activity and to target the limitations of self-report methods. Sensors are attached at the hip, wrist and thigh, and the acceleration data are processed and calibrated in different ways to determine activity intensity, body position and/or activity type. Simple linear modelling can be used to assess activity intensity from hip and thigh data, whilst more advanced machine-learning modelling is to prefer for the wrist. The thigh position is most optimal to assess body position and activity type using machine-learning modelling. Frequency filtering and measurement resolution needs to be considered for correct assessment of activity intensity. Simple physical activity measures and statistical methods are mostly used to investigate relationship with health, but do not take advantage of all information provided by accelerometers and do not consider all components of the physical activity behaviour and their interrelationships. More advanced statistical methods are suggested that analyse patterns of multiple measures of physical activity to demonstrate stronger and more specific relationships with health. However, evaluations of accelerometer methods show considerable measurement errors, especially at individual level, which interferes with their use in clinical research and practice. Therefore, better objective methods are needed with improved data processing and calibration techniques, exploring both simple linear and machine-learning alternatives. Development and implementation of accelerometer methods into clinical research and practice requires interdisciplinary collaboration to cover all aspects contributing to useful and accurate measures of physical activity behaviours related to health. © 2019 The Association for the Publication of the Journal of Internal Medicine",2,2,,,,,,,,,,
3606636,Cancer research in the Arab world: A review of publications from seven countries between 2000–2013,"This review aimed to examine trends in cancer research in the Arab world and identify existing research gaps. A search of the MEDLINE® database (National Library of Medicine, Bethesda, Maryland, USA) was undertaken for all cancer-related publications published between January 2000 and December 2013 from seven countries, including Bahrain, Kuwait, Iraq, Lebanon, Morocco, Palestine and Sudan. A total of 1,773 articles were identified, with a significant increase in yearly publications over time (P <0.005). Only 30.6% of the publications included subjects over the age of 50 years old. There was a dearth of cross-sectional/correlational studies (8.8%), randomised controlled trials (2.4%) and systematic reviews/meta-analyses (1.3%). Research exploring cancer associations mainly considered social and structural determinants of health (27.1%), followed by behavioural risk factors (14.1%), particularly tobacco use. Overall, more cancer research is needed in the Arab world, particularly analytical studies with high-quality evidence and those focusing on older age groups and associations with physical activity and diet. © 2017, Sultan Qaboos University. All rights reserved.",2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3594210,Applications of machine learning methods for engineering risk assessment – A review,"The purpose of this article is to present a structured review of publications utilizing machine learning methods to aid in engineering risk assessment. A keyword search is performed to retrieve relevant articles from the databases of Scopus and Engineering Village. The search results are filtered according to seven selection criteria. The filtering process resulted in the retrieval of one hundred and twenty-four relevant research articles. Statistics based on different categories from the citation database is presented. By reviewing the articles, additional categories, such as the type of machine learning algorithm used, the type of input source used, the type of industry targeted, the type of implementation, and the intended risk assessment phase are also determined. The findings show that the automotive industry is leading the adoption of machine learning algorithms for risk assessment. Artificial neural networks are the most applied machine learning method to aid in engineering risk assessment. Additional findings from the review process are also presented in this article. © 2019 The Authors",2,2,,,,,,,,,,
3593988,Deep Learning for Natural Language Processing in Radiology—Fundamentals and a Systematic Review,"Purpose: Natural language processing (NLP) enables conversion of free text into structured data. Recent innovations in deep learning technology provide improved NLP performance. We aimed to survey deep learning NLP fundamentals and review radiology-related research. Methods: This systematic review was reported according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. We searched for deep learning NLP radiology studies published up to September 2019. MEDLINE, Scopus, and Google Scholar were used as search databases. Results: Ten relevant studies published between 2018 and 2019 were identified. Deep learning models applied for NLP in radiology are convolutional neural networks, recurrent neural networks, long short-term memory networks, and attention networks. Deep learning NLP applications in radiology include flagging of diagnoses such as pulmonary embolisms and fractures, labeling follow-up recommendations, and automatic selection of imaging protocols. Deep learning NLP models perform as well as or better than traditional NLP models. Conclusion: Research and use of deep learning NLP in radiology is increasing. Acquaintance with this technology can help prepare radiologists for the coming changes in their field. © 2020 American College of Radiology",2,2,,,,,,,,,,
